Text	Sentiment	Category
Every sucessful person in the world is a hustler one way or another. We all hustle to get where we need to be. Only a fool would sit around and wait on another man to feed him.	0	worldview
Invest in your dreams. Grind now. Shine later.	0	advice
Hustlers don’t sleep, they nap.	1	worldview
Greatness only comes before hustle in the dictionary.	0	worldview
Without hustle, talent will only carry you so far.	0	worldview
Work like there is someone working twenty four hours a day to take it away from you.	0	advice
Hustle in silence and let your success make the noise.	0	advice
We are what we repeatedly do. Excellence, then, is not an act, but a habit.	0	worldview
If you’re offered a seat on a rocket ship, don’t ask what seat! Just get on.	0	advice
I always did something I was a little not ready to do. I think that’s how you grow. When there’s that moment of ‘Wow, I’m not really sure I can do this,’ and you push through those moments, that’s when you have a breakthrough.	0	personal-experience
If you hear a voice within you say ‘you cannot paint,’ then by all means paint and that voice will be silenced.	0	advice
How wonderful it is that nobody need wait a single moment before starting to improve the world.	0	worldview
Some people want it to happen, some wish it would happen, others make it happen.	0	worldview
Great things are done by a series of small things brought together	0	worldview
If you hire people just because they can do a job, they’ll work for your money. But if you hire people who believe what you believe, they’ll work for you with blood and sweat and tears.	0	advice
Very often, a change of self is needed more than a change of scene.’	0	worldview
Leaders can let you fail and yet not let you be a failure.	0	worldview
It’s not the load that breaks you down, it’s the way you carry it.	0	worldview
The hard days are what make you stronger.	0	worldview
If you believe it’ll work out, you’ll see opportunities. If you don’t believe it’ll work out, you’ll see obstacles.	1	worldview
Keep your eyes on the stars, and your feet on the ground.	0	advice
You can waste your lives drawing lines. Or you can live your life crossing them.	0	worldview
You’ve got to get up every morning with determination if you’re going to go to bed with satisfaction.	0	worldview
I now tried a new hypothesis: It was possible that I was more in charge of my happiness than I was allowing myself to be.	0	personal-experience
In a gentle way, you can shake the world.	0	worldview
If opportunity doesn’t knock, build a door.	0	advice
Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart.	0	advice
Work hard in silence, let your success be the noise.	0	advice
Don’t say you don’t have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo Da Vinci, Thomas Jefferson, and Albert Einstein.	0	worldview
Hard work beats talent when talent doesn’t work hard.	0	worldview
If everything seems to be under control, you’re not going fast enough.	0	worldview
Opportunity is missed by most people because it is dressed in overalls and looks like work.	0	worldview
The only difference between ordinary and extraordinary is that little extra.	0	worldview
The best way to appreciate your job is to imagine yourself without one.	0	advice
Unsuccessful people make their decisions based on their current situations. Successful people make their decisions based on where they want to be.	0	worldview
Never stop doing your best just because someone doesn’t give you credit.	0	advice
Work hard for what you want because it won’t come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.	0	advice
Work hard, be kind, and amazing things will happen.	0	advice
The miracle is not that we do this work, but that we are happy to do it.	0	advice
Never give up on a dream just because of the time it will take to accomplish it. The time will pass anyway.	0	worldview
If you work on something a little bit every day, you end up with something that is massive.	0	advice
The big secret in life is that there is no secret. Whatever your goal, you can get there if you’re willing to work.	0	worldview
If you cannot do great things, do small things in a great way.	0	advice
Never allow a person to tell you no who doesn’t have the power to say yes.	0	advice
At any given moment you have the power to say: this is not how the story is going to end.	0	advice
Amateus sit around and wait for inspiration. The rest of us just get up and go to work.	0	worldview
Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven’t found it yet, keep looking. Don’t settle. As with all matters of the heart, you’ll know when you find it.	0	advice
Nothing will work unless you do.	0	advice
Sometimes when you’re in a dark place you think you’ve been buried but you’ve actually been planted.	0	worldview
Don’t limit your challenges. Challenge your limits.	0	worldview
Whenever you find yourself doubting how far you can go, just remember how far you have come.	0	advice
Everyone has inside them a piece of good news. The good news is you don’t know how great you can be! How much you can love! What you can accomplish! And what your potential is.	0	worldview
Some luck lies in not getting what you thought you wanted but getting what you have, which once you have got it you may be smart enough to see is what you would have wanted had you known.	0	worldview
Don’t quit yet, the worst moments are usually followed by the most beautiful silver linings. You have to stay strong, remember to keep your head up and remain hopeful.	0	advice
When written in Chinese the word “crisis” is composed of two characters – one represents danger and the other represents opportunity.	0	worldview
Good. Better. Best. Never let it rest. ‘Til your good is better and your better is best.	0	advice
In the middle of every difficulty lies opportunity.	0	worldview
Start where you are. Use what you have. Do what you can.	0	advice
Dreams don’t work unless you do.	0	advice
Go the extra mile. It’s never crowded there.	0	advice
Keep your face always toward the sunshine – and shadows will fall behind you.	1	advice
What defines us is how well we rise after falling.	0	advice
H.O.P.E. = Hold On. Pain Ends.	0	advice
Make each day your masterpiece.	0	advice
Wherever you go, go with all your heart	0	advice
Turn your wounds into wisdom	1	advice
We can do anything we want to if we stick to it long enough.	0	worldview
Begin anywhere.	0	advice
Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.	0	worldview
Would you like me to give you a formula for success? It’s quite simple, really: Double your rate of failure. You are thinking of failure as the enemy of success. But it isn’t at all. You can be discouraged by failure or you can learn from it, so go ahead and make mistakes. Make all you can. Because remember that’s where you will find success.	0	advice
Every champion was once a contender that didn’t give up.	0	worldview
To be a champion, I think you have to see the big picture. It’s not about winning and losing; it’s about every day hard work and about thriving on a challenge. It’s about embracing the pain that you’ll experience at the end of a race and not being afraid. I think people think too hard and get afraid of a certain challenge.	0	worldview
Don’t dream about success. Get out there and work for it.	0	advice
The difference between successful people and very successful people is that very successful people say ‘no’ to almost everything.	0	worldview
You can cry, scream, and bang your head in frustration but keep pushing forward. It’s worth it.	0	advice
I hated every minute of training, but I said, ‘Don’t quit. Suffer now and live the rest of your life as a champion.	0	personal-experience
Opportunities don’t happen. You create them.	0	worldview
Success is liking yourself, liking what you do, and liking how you do it.	0	worldview
If you obey all the rules, you miss all the fun.	0	worldview
You were born to be a player. You were meant to be here. This moment is yours.	0	worldview
Life is not what you alone make it. Life is the input of everyone who touched your life and every experience that entered it. We are all part of one another.	0	worldview
When you reach the end of your rope, tie a knot and hang out.	1	advice
Never regret anything that made you smile.	0	advice
You must do the thing you think you cannot do.	0	advice
If you want to fly give up everything that weighs you down.	0	advice
Doubt kills more dreams than failure ever will.	0	worldview
I never lose. Either I win or learn.	0	affirmation
Today is your opportunity to build the tomorrow you want.	0	advice
Getting over a painful experience is much like crossing the monkey bars. You have to let go at some point in order to move forward.	0	worldview
Focus on being productive instead of busy.	0	advice
You don’t need to see the whole staircase, just take the first step.	0	advice
It’s not all sunshine and rainbows, but a good amount of it actually is.	0	worldview
When someone says you can’t do it, do it twice and take pictures.	0	advice
I didn’t get there by wishing for it, but by working for it.	0	personal-experience
She remembered who she was and the game changed.	0	personal-experience
If you’re too comfortable, it’s time to move on. Terrified of what’s next? You’re on the right track.	0	advice
Be happy with what you have while working for what you want.	0	advice
Sunshine all the time makes a desert.	0	worldview
The big lesson in life is never be scared of anyone or anything.	0	worldview
You’re so much stronger than your excuses	0	worldview
Don’t compare yourself to others. Be like the sun and the moon and shine when it’s your time.	0	advice
Don’t Quit	0	advice
Don’t tell everyone your plans, instead show them your results.	0	advice
I choose to make the rest of my life, the best of my life.	0	affirmation
Nothing can dim the light that shines from within.	0	worldview
Be so good they can’t ignore you.	0	advice
Take criticism seriously, but not personally. If there is truth or merit in the criticism, try to learn from it. Otherwise, let it roll right off you.	0	advice
This is a reminder to you to create your own rule book, and live your life the way you want it.	0	advice
If you don’t get out of the box you’ve been raised in, you won’t understand how much bigger the world is.	0	advice
Do the best you can. No one can do more than that.	0	advice
Do what you can, with what you have, where you are.	0	advice
‘It’s never too late to be what you might’ve been.	0	advice
If you can dream it, you can do it.	0	worldview
Trust yourself that you can do it and get it.	0	advice
Don’t let what you can’t do interfere with what you can do.	0	advice
You can do anything you set your mind to.	0	worldview
All we can do is the best we can do.	0	worldview
You never know what you can do until you try.	0	worldview
Twenty years from now you’ll be more disappointed by the things you did not do than the ones you did.	0	worldview
I am thankful for all of those who said NO to me. It’s because of them I’m doing it myself.	0	personal-experience
It’s okay to outgrow people who don’t grow. Grow tall anyways.	0	advice
When you feel like giving up just remember that there are a lot of people you still have to prove wrong.	0	advice
The world is full of nice people. If you can’t find one, be one.	0	advice
Believe in yourself, take on your challenges, dig deep within yourself to conquer fears. Never let anyone bring you down. You got to keep going.	0	advice
A walk to a nearby park may give you more energy and inspiration in life than spending two hours in front of a screen.	0	worldview
If you can’t do anything about it then let it go. Don’t be a prisoner to things you can’t change.	0	advice
You can’t go back and change the beginning, but you can start where you are and change the ending.	0	advice
Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.	0	worldview
I can and I will. Watch me.	0	affirmation
Try not to become a man of success, but rather become a man of value.	0	advice
A winner is a dreamer who never gives up.	0	worldview
If you don’t have a competitive advantage, don’t compete.	0	advice
The only thing standing in the way between you and your goal is the BS story you keep telling yourself as to why you can’t achieve it.	0	worldview
What is life without a little risk?	0	worldview
Only do what your heart tells you.	0	advice
If it’s a good idea, go ahead and do it. It’s much easier to apologize than it is to get permission.	0	advice
I attribute my success to this: I never gave or took an excuse.	0	personal-experience
The question isn’t who is going to let me; it’s who is going to stop me.	0	affirmation
A surplus of effort could overcome a deficit of confidence.	0	worldview
And, when you want something, all the universe conspires in helping you to achieve it.	0	worldview
Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won’t feel insecure around you. We are all meant to shine, as children do.	0	worldview
Don’t think or judge, just listen.	0	advice
I can be changed by what happens to me. But I refuse to be reduced by it.	0	worldview
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.	0	worldview
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You’re on your own. And you know what you know. And YOU are the one who’ll decide where to go…	0	advice
It’s the possibility of having a dream come true that makes life interesting.	0	worldview
There is some good in this world, and it’s worth fighting for.	0	worldview
Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.	0	advice
Oh yes, the past can hurt. But the way I see it, you can either run from it or learn from it.	0	worldview
Life moves pretty fast. If you don’t stop and look around once in a while, you could miss it.	0	worldview
There is a very thin line between relationship and friendship.	0	worldview
No one has ever made a difference by being like everyone else.	0	worldview
Spend a little more time trying to make something of yourself and a little less time trying to impress people.	0	advice
The problem is not the problem. The problem is your attitude about the problem.	1	worldview
Remember you’re the one who can fill the world with sunshine.	0	worldview
And when you get the choice to sit it out or dance… I hope you dance.	0	advice
Just because it burns doesn’t mean you’re gonna die you’ve gotta get up and try.	0	advice
Life’s a game made for everyone and love is the prize	0	worldview
It’s a new dawn, it’s a new day, it’s a life for me and I’m feeling good.	0	worldview
Today is where your book begins, the rest is still unwritten.	0	worldview
On my own I will just create and if it works, it works. And if it doesn’t, I’ll just create something else. I don’t have any limitations on what I think I could do or be.	0	personal-experience
We realize the importance of our voices only when we are silenced.	0	worldview
Don’t compromise yourself. You’re all you’ve got.	0	advice
When something I can’t control happens, I ask myself: Where is the hidden gift? Where is the positive in this?	1	personal-experience
Doubt is a killer. You just have to know who you are and what you stand for. “	0	advice
Be a first rate version of yourself, not a second rate version of someone else.	0	advice
Learn from the mistakes of others. You can’t live long enough to make them all yourself.	0	advice
I was smart enough to go through any door that opened.	0	personal-experience
Done is better than perfect.	0	worldview
If your dreams don’t scare you, they are too small.	0	worldview
What hurts you blesses you.	1	worldview
‘Nothing is stronger than a broken man rebuilding himself.	0	worldview
I always thought it was me against the world and then one day I realized it’s just me against me.	0	personal-experience
A man is not finished when he is defeated. He is finished when he quits.	0	worldview
The world is changed by your example, not by your opinion.	0	worldview
If you don’t build your dream, someone else will hire you to help them build theirs.	0	worldview
I’m not in this world to live up to your expectations and you’re not in this world to live up to mine.	0	worldview
What’s right is what’s left if you do everything else wrong.	0	worldview
Be a fruitloop in a world of Cheerios.	0	advice
Dream beautiful dreams, and then work to make those dreams come true.	0	advice
Be the change you want to see in the world.	0	advice
Believe you can and you will.	1	advice
Do the right thing even when no one is looking.	0	advice
Make today the day you learn something new.	0	advice
Be silly, be honest, be kind.’	0	advice
If you think someone could use a friend. Be one.	0	advice
It’s not what happens to you but how you react to it that matters.	0	worldview
You don’t have to be perfect to be amazing.	0	worldview
The best way to predict your future is to create it.	0	worldview
Successful people are not gifted; they just work hard, then succeed on purpose.	0	worldview
Don’t watch the clock; do what it does. Keep going.	0	advice
Work until your rivals become idols.	0	worldview
You can’t have a million dollar dream on a minimum wage work ethic.	0	worldview
You must do the kind of things you think you cannot do.	0	advice
It’s not what you do once in a while it’s what you do day in and day out that makes the difference.	0	advice
Falling down is how we grow. Staying down is how we die.	0	worldview
Wealth isn’t about having a lot of money it’s about having a lot of options.	0	worldview
There may be people that have more talent than you, but there’s no excuse for anyone to work harder than you.	0	worldview
Always be careful when you follow the masses. Sometimes the m is silent.	0	advice
Never let anyone treat you like you’re regular glue. You’re glitter glue.	0	advice
When Plan “A” doesn’t work, don’t worry, you still have 25 more letters to go through.	0	advice
If you think you’re too small to make a difference, try sleeping with a mosquito.	0	worldview
A diamond is merely a lump of coal that did well under pressure.	0	worldview
I find television very educational. Every time someone turns it on, I go in the other room and read a book.’	0	personal-experience
Opportunity does not knock, it presents itself when you beat down the door.	0	worldview
I have not failed. I’ve just found 10,000 ways that won’t work.	0	worldview
“You could rattle the stars,” she whispered. “You could do anything, if only you dared. And deep down, you know it, too. That’s what scares you most.”	0	worldview
It is only when we take chances, when our lives improve. The initial and the most difficult risk that we need to take is to become honest.	0	worldview
The adventure of life is to learn. The purpose of life is to grow. The nature of life is to change. The challenge of life is to overcome. The essence of life is to care. The opportunity of like is to serve. The secret of life is to dare. The spice of life is to befriend. The beauty of life is to give.	0	worldview
When you know your worth, no one can make you feel worthless.	0	advice
If you’ve never eaten while crying you don’t know what life tastes like.	0	worldview
If you judge people, you have no time to love them.	0	worldview
Once you do know what the question actually is, you’ll know what the answer means.	0	advice
The two most important days in your life are the day you’re born and the day you find out why.	0	worldview
Nothing ever goes away until it teaches us what we need to know.	0	worldview
‘We can see through others only when we can see through ourselves.	0	worldview
You don’t get paid for the hour. You get paid for the value you bring to the hour.	0	worldview
Be an Encourager: When you encourage others, you boost their self-esteem, enhance their self-confidence, make them work harder, lift their spirits and make them successful in their endeavors. Encouragement goes straight to the heart and is always available. Be an encourager. Always.	0	advice
Remember, you have been criticizing yourself for years and it hasn’t worked. Try approving of yourself and see what happens.	0	advice
Work hard and don’t give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.	0	advice
Stay true to yourself, yet always be open to learn. Work hard, and never give up on your dreams, even when nobody else believes they can come true but you. These are not cliches but real tools you need no matter what you do in life to stay focused on your path.	0	advice
You can control two things: your work ethic and your attitude about anything.	0	advice
Success isn’t always about greatness. It’s about consistency. Consistent hard work leads to success. Greatness will come.	0	worldview
One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don’t throw it away.	0	advice
Some women choose to follow men, and some women choose to follow their dreams. If you’re wondering which way to go, remember that your career will never wake up and tell you that it doesn’t love you anymore.	0	advice
Read, read, read. Read everything — trash, classics, good and bad, and see how they do it. Just like a carpenter who works as an apprentice and studies the master. Read! You’ll absorb it. Then write. If it’s good, you’ll find out. If it’s not, throw it out of the window.	0	advice
I really appreciate people who correct me, because without them, I might have been repeating mistakes for a long time.	0	personal-experience
Motivation comes from working on things we care about.	0	worldview
If today you are a little bit better than you were yesterday, then that’s enough.	0	worldview
Education is the most powerful weapon which you can use to change the world.	0	worldview
If you can’t make a mistake you can’t make anything.	0	worldview
Practice makes progress not perfect.	0	worldview
You may be disappointed if you fail, but you’ll be doomed if you don’t try.	0	worldview
Failure is the tuition you pay for success.	0	worldview
If we wait until we’re ready, we’ll be waiting for the rest of our lives.	0	worldview
Study while others are sleeping; work while others are loafing; prepare while others are playing; and dream while others are wishing.	0	advice
The best revenge is massive success.	0	worldview
What’s on the other side of fear? Nothing.	0	worldview
Quitters never win. Winners never quit!	0	worldview
It’s not your salary that makes you rich, it’s your spending habits.	0	worldview
If there is no wind, row.	0	advice
It’s never too late for a new beginning in your life.	0	worldview
If opportunity doesn’t knock build a door.	0	advice
Action is the foundational key to all success.	0	worldview
I never dreamt of success. I worked for it.	0	personal-experience
A goal is a dream with a deadline.	0	worldview
Be the change that you wish to see in the world.	0	advice
Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.	0	worldview
Change is painful, but nothing is as painful as staying stuck somewhere you don’t belong.	0	worldview
Those who cannot change their minds cannot change anything.	0	worldview
Everyone thinks of changing the world, but no one thinks of changing himself.	0	worldview
Change is the law of life. And those who look only to the past or present are certain to miss the future.	0	worldview
We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.	0	worldview
Dreams are the seeds of change. Nothing ever grows without a seed, and nothing ever changes without a dream.	0	worldview
Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They’re not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can’t do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.	0	worldview
Don’t stay in bed unless you can make money in bed.	0	advice
You must gain control over your money or the lack of it will forever control you.	0	advice
Only buy something that you’d be perfectly happy to hold if the market shuts down for ten years.	0	advice
That man is richest whose pleasures are cheapest.	0	worldview
Money can’t buy happiness, but it can make you awfully comfortable while you’re being miserable.	0	worldview
Money is only a tool. It will take you wherever you wish, but it will not replace you as the driver.	0	worldview
You’re already a financial trader. You might not think of it in just this way, but if you work for a living, you’re trading your time for money. Frankly, it’s just about the worst trade you can make. Why? You can always get more money, but you can’t get more time.	0	worldview
You can only become truly accomplished at something you love. Don’t make money your goal. Instead pursue the things you love doing and then do them so well that people can’t take their eyes off of you.	0	advice
Formal education will make you a living; self-education will make you a fortune.	0	worldview
Don’t give up, don’t take anything personally, and don’t take no for an answer.	0	advice
Don’t be upset when people reject you. Nice things are rejected all the time by people who can’t afford them.	0	worldview
The secret of change is to focus all your energy, not on fighting the old, but on building the new.	0	advice
There are two rules for success. 1: Never reveal everything you know.	0	advice
Your positive action combined with positive thinking results in success.	0	advice
Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do	0	worldview
If you talk about it, it’s a dream. If you envision it, it’s possible. If you schedule it, it’s real.	0	worldview
Forget your excuses. You either want it bad or don’t want it at all.	1	worldview
The key to success is to start before you are ready.	0	advice
I want to be remembered as the one who tried.	0	worldview
How to stop time: kiss. How to travel in time: read. How to escape time: music. How to feel time: write. How to release time: breathe.	0	worldview
Time is what we want most and what we use worst.	0	worldview
It’s not about having enough time, it’s about making enough time.	0	advice
Time is money.	0	worldview
Better three hours too soon than a minute too late.	0	worldview
The trouble is, you think you have time.	0	worldview
The greatest gift you could give someone is your time. Because when you give your time, you are giving a portion of your life you can’t get back.	0	advice
Punctuality is not just limited to arriving at a place at right time, it is also about taking actions at right time.	0	worldview
Time always exposes what you mean to someone.	0	worldview
You can’t let your failures define you. You have to let your failures teach you.	0	advice
Success is a lousy teacher. It seduces smart people into thinking they can’t lose.	0	worldview
Stop being afraid of what could go wrong, and start being excited about what could go right.	1	advice
Think like a Queen. A Queen is not afraid to fail. Failure is another stepping stone to greatness.	0	worldview
Defeat is a state of mind; no one is ever defeated until defeat is accepted as a reality.	1	worldview
Our greatest glory is not in never falling, but in rising every time we fall.	0	worldview
It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all – in which case, you fail by default.	0	worldview
Success is going from failure to failure without losing your enthusiasm	0	worldview
Why do we grieve failures longer than we celebrate wins?	0	worldview
Failure isn’t the end of the road. It’s a big red flag saying to you ‘Wrong way. Turn around.’	0	worldview
Whenever you feel like a failure, just remember that even Coca Cola only sold 25 bottles their first year	0	worldview
No matter what people tell you, words and ideas can change the world.	0	worldview
Life is like riding a bicycle. To keep your balance, you must keep moving.	0	worldview
You’re off to Great Places! Today is your day! Your mountain is waiting, so… get on your way!	0	advice
When thinking about life, remember this: no amount of guilt can change the past and no amount of anxiety can change the future.	0	worldview
A negative mind will never give you a positive life.	1	worldview
Everything is hard before it is easy.	0	worldview
At the end of the day we can endure much more than we think we can.	0	worldview
Whatever you do never run back to what broke you.	0	advice
Take the risk or lose the chance.	0	worldview
I didn’t learn to be quiet when I had an opinion. The reason they knew who I was is because I told them.	0	personal-experience
Never regret a day in your life. Good days bring you happiness and bad days give you experience.	0	advice
Either you run the day, or the day runs you.	0	worldview
Only I can change my life. No one can do it for me.	0	affirmation
Life is 10% what happens to you and 90% how you react to it.	0	worldview
Act as if what you do makes a difference. It does.	0	advice
When the pain of an obstacle is too great, challenge yourself to be stronger.	0	advice
Even if you’re on the right track, you’ll get run over if you just sit there.	0	worldview
Very little is needed to make a happy life; it is all within yourself, in your way of thinking.	0	worldview
Life is either a daring adventure or nothing at all.	0	worldview
The woman who follows the crowd will usually go no further than the crowd. The woman who walks alone is likely to find herself in places no one has been before.	0	worldview
Life’s like a movie, write your own ending. Keep believing, keep pretending.	0	advice
Only I can change my life.	0	affirmation
Strength does not come from winning. Your struggles develop your strengths. When you go through hardships and decide not to surrender, that is strength.	0	worldview
If it doesn’t challenge you, it doesn’t change you.	0	worldview
A dream doesn’t become reality through magic; it takes sweat, determination and hard work.	0	worldview
The best thing you can do is MASTER the chaos in you. You are not thrown into the fire, you ARE the fire.	0	advice
Flowers grow back even after the harshest winters. You will too.	1	worldview
Life has many ways of testing a person’s will, either by having nothing happen at all or by having everything happen all at once.	0	worldview
Be strong enough to let go and wise enough to wait for what you deserve.	0	advice
It’s okay to be a glowstick: Sometimes we have to break before we shine.	0	worldview
What is coming is better than what is gone.	0	worldview
Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.	1	worldview
Dwell on the beauty of life. Watch the stars, and see yourself running with them.	0	advice
Do something today that your future self will thank you for.	0	advice
The greatest weapon against stress is the ability to choose one thought over another.	1	advice
It takes nothing to join the crowd. It takes everything to stand alone.	0	worldview
Your mind is powerful. When you fill it with positive thoughts your whole world will change.	1	worldview
Your only limit is your mind.	1	worldview
Stop being afraid of what can go wrong and start being positive about what can go right.	1	advice
The difference between who you are and who you want to be is what you do.	0	worldview
You were born to win, but to be a winner, you must plan to win, prepare to win, and expect to win.	0	advice
One thing’s for sure, if you don’t play, you don’t win.	0	advice
Winning means you’re willing to go longer, work harder, and give more than anyone else.	0	worldview
Talent wins games, but teamwork wins championships.	0	worldview
When I win and when I lose, I take ownership of it, because I really am in charge of what I do.	0	personal-experience
A champion is afraid of losing. Everyone else is afraid of winning.	0	worldview
‘Competing at the highest level is not about winning. It’s about preparation, courage, understanding, nurturing your people, and heart. Winning is the result.	0	worldview
The secret of your future is hidden in your daily routine.	0	worldview
Losers quit when they fail. Winners fail until they succeed.	0	worldview
It is never too late to be what you might have been.	0	worldview
Words can inspire, thoughts can provoke, but only action truly brings you closer to your dreams.	0	worldview
Don’t stop when you are tired. Stop when you are done.	0	advice
Don’t tell people about your dreams. Show them your dreams.	0	advice
Revenge is a powerful motivator.	0	worldview
Motivation may be what starts you off, but it’s habit that keeps you going back for more.	0	worldview
I will not erase all my hard work this week because it’s the weekend.	0	worldview
It might not be easy but it’ll be worth it.	0	worldview
Make your fear of losing your greatest motivator.	0	advice
You will never always be motivated, so you must learn to be disciplined.	0	advice
I’m not a product of my circumstances. I am a product of my decisions.	1	affirmation
The way sadness works is one of the strange riddles of the world. If you are stricken with a great sadness, you may feel as if you have been set aflame, not only because of the enormous pain but also because your sadness may spread over your life, like smoke from an enormous fire.	0	worldview
Our sweetest songs are those that tell of saddest thought.	0	worldview
Sadness flies away on the wings of time.	0	worldview
Sadness is but a wall between two gardens.	0	worldview
We must understand that sadness is an ocean, and sometimes we drown, while other days we are forced to swim.	0	worldview
There are moments when I wish I could roll back the clock and take all the sadness away, but I have the feeling that if I did, the joy would be gone as well.	0	worldview
Experiencing sadness and anger can make you feel more creative, and by being creative you can get beyond your pain or negativity	0	worldview
Some days are just bad days, that’s all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that’s just the way it is!.	0	personal-experience
There is no point treating a depressed person as though she were just feeling sad, saying, ‘There now, hang on, you’ll get over it.’ Sadness is more or less like a head cold- with patience, it passes. Depression is like cancer.	0	worldview
There is no greater sorrow than to recall in misery the time when we were happy.	0	worldview
Depression is the most unpleasant thing I have ever experienced. . . . It is that absence of being able to envisage that you will ever be cheerful again. The absence of hope. That very deadened feeling, which is so very different from feeling sad. Sad hurts but it’s a healthy feeling. It is a necessary thing to feel. Depression is very different.	0	personal-experience
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.	0	worldview
Sometimes we get sad about things and we don’t like to tell other people that we are sad about them. We like to keep it a secret. Or sometimes, we are sad but we really don’t know why we are sad, so we say we aren’t sad but we really are.	0	worldview
You cannot protect yourself from sadness without protecting yourself from happiness.	0	worldview
The word ‘happy’ would lose its meaning if it were not balanced by sadness.	0	worldview
